id,rawName,website,sourceType,sourceName,sourceUrl,description,homepageText,careersText,lastActivityDate,country,estimatedSize,stageHint,agentConfidence,expectedCategory,expectedTrashReason
raw_0014,MarketWorks,https://marketworks.app,startup_directory,B2B Tools Index,https://example-startup-directory.com/company/marketworks-14,"MarketWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","MarketWorks is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",,2026-05-08,Australia,11-50,Seed,62,qualified_candidate,
raw_0015,MarketWorks AI,https://www.marketworks.app,accelerator,SeedLaunch Accelerator Batch,https://example-seedlaunch.com/batch/marketworks-15,"MarketWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","MarketWorks is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",,2026-05-08,Australia,11-50,Seed,62,qualified_candidate,
raw_0016,MarketWorks Inc.,https://marketworks.app/,careers_page,ATS Job Board Extraction,https://jobs.example-ats.com/marketworks-16,"MarketWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","MarketWorks is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","Open roles: Sales Development Representative, Account Executive, and RevOps Manager.",2026-05-08,Australia,11-50,Seed,68,qualified_candidate,
raw_0017,FunnelStackDesign,https://funnelstackdesign.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/funnelstackdesign-17,FunnelStackDesign is a creative design and marketing services agency.,"FunnelStackDesign is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-04-12,Netherlands,1-10,Bootstrapped,78,agency_or_service_provider,Not ICP: agency/service provider
raw_0018,CloseIQGames,https://closeiqgames.com,accelerator,Northstar SaaS Demo Day,https://example-seedlaunch.com/batch/closeiqgames-18,"CloseIQGames is a consumer or local business, not a B2B SaaS buyer.","CloseIQGames is a consumer-focused local business providing lifestyle services, bookings, and retail experiences.",,2026-04-22,UK,11-50,Bootstrapped,62,irrelevant_business,Not ICP: irrelevant business
raw_0019,CloudGrid,https://cloudgrid.io,careers_page,ATS Job Board Extraction,https://jobs.example-ats.com/cloudgrid-19,"CloudGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","CloudGrid is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-02-28,Canada,11-50,Series A,84,qualified_candidate,
raw_0020,MeetingLabs,https://meetinglabs.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/meetinglabs-20,"MeetingLabs is a B2B SaaS company building software for sales, revenue, and operations teams.","MeetingLabs helps growing B2B companies automate sales workflows, manage pipeline, and create qualified opportunities for account executives.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-03-07,Australia,11-50,Seed,78,qualified_candidate,
raw_0021,WorkflowGrid,https://workflowgrid.dev,accelerator,ScaleBridge Accelerator Portfolio,https://example-seedlaunch.com/batch/workflowgrid-21,"WorkflowGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","WorkflowGrid is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-04-28,Singapore,51-200,Seed,68,qualified_candidate,
raw_0022,LeadWave,https://leadwave.io,funding_news,Startup Funding Digest,https://example-funding-digest.com/startups/leadwave-22,"LeadWave is a B2B SaaS company building software for sales, revenue, and operations teams.","LeadWave is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-03-07,Netherlands,11-50,Seed,62,qualified_candidate,
raw_0023,LeadWave AI,https://leadwave.io,accelerator,ScaleBridge Accelerator Portfolio,https://example-seedlaunch.com/batch/leadwave-23,"LeadWave is a B2B SaaS company building software for sales, revenue, and operations teams.","LeadWave is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-03-07,Netherlands,11-50,Seed,78,qualified_candidate,
raw_0024,SignalGrid,https://signalgrid.io,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/signalgrid-24,"SignalGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","SignalGrid is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-04-30,Canada,51-200,Series B,68,qualified_candidate,
raw_0025,GTMGrid,https://gtmgrid.app,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/gtmgrid-25,"GTMGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","GTMGrid is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-06-11,US,201-500,Unknown,62,qualified_candidate,
raw_0026,GTMGrid AI,https://gtmgrid.app,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/gtmgrid-26,"GTMGrid is a B2B SaaS company building software for sales, revenue, and operations teams.","GTMGrid is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-06-11,US,201-500,Unknown,62,qualified_candidate,
raw_0027,DataPathLanding,https://datapathlanding.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/datapathlanding-27,DataPathLanding is a creative design and marketing services agency.,"DataPathLanding is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-06-03,Australia,51-200,Bootstrapped,73,agency_or_service_provider,Not ICP: agency/service provider
raw_0028,LedgerOS,https://ledgeros.io,conference,SaaS Growth Summit Exhibitors,https://example-saas-growth-summit.com/exhibitors/ledgeros-28,"LedgerOS is a B2B SaaS company building software for sales, revenue, and operations teams.","LedgerOS gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-06-02,Singapore,201-500,Series B,78,qualified_candidate,
raw_0029,LedgerOS AI,https://www.ledgeros.io,funding_news,Startup Funding Digest,https://example-funding-digest.com/startups/ledgeros-29,"LedgerOS is a B2B SaaS company building software for sales, revenue, and operations teams.","LedgerOS gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-06-02,Singapore,201-500,Series B,62,qualified_candidate,
raw_0030,BuyerLoop,https://buyerloop.io,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/buyerloop-30,"BuyerLoop is a B2B SaaS company building software for sales, revenue, and operations teams.","BuyerLoop gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-02-26,UK,51-200,Series B,84,qualified_candidate,
raw_0031,CloudEngine,https://cloudengine.app,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/cloudengine-31,"CloudEngine appears in a startup source, but there is limited evidence about current business model or activity.",Early-stage company building workflow tools. More evidence needed.,,2018-03-09,UK,Unknown,Unknown,51,needs_review,Needs review: weak evidence
raw_0032,CloudEngine AI,https://www.cloudengine.app,startup_directory,Startup Signal Directory,https://example-startup-directory.com/company/cloudengine-32,"CloudEngine appears in a startup source, but there is limited evidence about current business model or activity.",Early-stage company building workflow tools. More evidence needed.,,2018-03-09,UK,Unknown,Unknown,42,needs_review,Needs review: weak evidence
raw_0033,RevOpsLoopStudio,https://revopsloopstudio.com,accelerator,Foundry Ventures Startup Batch,https://example-seedlaunch.com/batch/revopsloopstudio-33,RevOpsLoopStudio is a creative design and marketing services agency.,"RevOpsLoopStudio is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-06-07,Netherlands,11-50,Bootstrapped,68,agency_or_service_provider,Not ICP: agency/service provider
raw_0034,FunnelHubParked,https://funnelhubparked.com,startup_directory,B2B Tools Index,https://example-startup-directory.com/company/funnelhubparked-34,FunnelHubParked is an old startup listing from a previous event.,This domain is for sale.,,2018-02-23,Canada,Unknown,Unknown,78,dead_or_stale,Dead/stale/parked company
raw_0035,Forecastly,https://forecastly.ai,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/forecastly-35,"Forecastly is a B2B SaaS company building software for sales, revenue, and operations teams.","Forecastly gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-03-23,UK,201-500,Seed,84,qualified_candidate,
raw_0036,SalesStackClosed,https://salesstackclosed.com,accelerator,Foundry Ventures Startup Batch,https://example-seedlaunch.com/batch/salesstackclosed-36,SalesStackClosed is an old startup listing from a previous event.,This website is no longer available.,,2018-03-24,India,11-50,Unknown,68,dead_or_stale,Dead/stale/parked company
raw_0037,SalesStackClosed AI,https://salesstackclosed.com,conference,SaaS Growth Summit Exhibitors,https://example-saas-growth-summit.com/exhibitors/salesstackclosed-37,SalesStackClosed is an old startup listing from a previous event.,This website is no longer available.,,2018-03-24,India,11-50,Unknown,94,dead_or_stale,Dead/stale/parked company
raw_0038,GTMWave,https://gtmwave.co,startup_directory,EarlySaaS Directory,https://example-startup-directory.com/company/gtmwave-38,"GTMWave is a B2B SaaS company building software for sales, revenue, and operations teams.","GTMWave gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-05-21,US,201-500,Series A,94,qualified_candidate,
raw_0039,SignalWorks,https://signalworks.co,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/signalworks-39,"SignalWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","SignalWorks is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-02-26,Canada,11-50,Series B,73,qualified_candidate,
raw_0040,AccountHubParked,https://accounthubparked.com,conference,GTM Leaders Expo Sponsor List,https://example-saas-growth-summit.com/exhibitors/accounthubparked-40,AccountHubParked is an old startup listing from a previous event.,This domain is for sale.,,2021-10-07,Germany,1-10,Unknown,73,dead_or_stale,Dead/stale/parked company
raw_0041,DataOS,https://dataos.app,startup_directory,Cloud Software Landscape,https://example-startup-directory.com/company/dataos-41,"DataOS is a B2B SaaS company building software for sales, revenue, and operations teams.","DataOS gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-03-18,Canada,201-500,Series B,89,qualified_candidate,
raw_0042,DataOS AI,https://www.dataos.app,startup_directory,B2B Tools Index,https://example-startup-directory.com/company/dataos-42,"DataOS is a B2B SaaS company building software for sales, revenue, and operations teams.","DataOS gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-03-18,Canada,201-500,Series B,78,qualified_candidate,
raw_0043,SignalStackDesign,https://signalstackdesign.com,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/signalstackdesign-43,SignalStackDesign is a creative design and marketing services agency.,"SignalStackDesign is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-04-28,US,11-50,Unknown,78,agency_or_service_provider,Not ICP: agency/service provider
raw_0044,DataDock,https://datadock.app,accelerator,Foundry Ventures Startup Batch,https://example-seedlaunch.com/batch/datadock-44,"DataDock is a B2B SaaS company building software for sales, revenue, and operations teams.","DataDock is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-03-26,US,51-200,Series B,68,qualified_candidate,
raw_0045,ProspectPilotOld,https://prospectpilotold.com,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/prospectpilotold-45,ProspectPilotOld is an old startup listing from a previous event.,Parked domain. Buy this domain today.,,2021-10-28,UK,11-50,Unknown,89,dead_or_stale,Dead/stale/parked company
raw_0046,RevOpsBaseBrand,https://revopsbasebrand.com,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/revopsbasebrand-46,RevOpsBaseBrand is a creative design and marketing services agency.,"RevOpsBaseBrand is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-05-31,US,1-10,Unknown,62,agency_or_service_provider,Not ICP: agency/service provider
raw_0047,DealWave,https://dealwave.io,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/dealwave-47,"DealWave is a B2B SaaS company building software for sales, revenue, and operations teams.","DealWave is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",,2026-04-08,Netherlands,51-200,Unknown,94,qualified_candidate,
raw_0048,DealWave AI,https://www.dealwave.io,funding_news,Seed Round News Feed,https://example-funding-digest.com/startups/dealwave-48,"DealWave is a B2B SaaS company building software for sales, revenue, and operations teams.","DealWave is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",,2026-04-08,Netherlands,51-200,Unknown,89,qualified_candidate,
raw_0049,CloseLoopGames,https://closeloopgames.com,startup_directory,Cloud Software Landscape,https://example-startup-directory.com/company/closeloopgames-49,"CloseLoopGames is a consumer or local business, not a B2B SaaS buyer.","CloseLoopGames is a consumer-focused local business providing lifestyle services, bookings, and retail experiences.",,2026-01-06,Germany,51-200,Unknown,62,irrelevant_business,Not ICP: irrelevant business
raw_0050,SalesLoopPixel,https://saleslooppixel.com,accelerator,Northstar SaaS Demo Day,https://example-seedlaunch.com/batch/saleslooppixel-50,SalesLoopPixel is a creative design and marketing services agency.,"SalesLoopPixel is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-05-09,UK,1-10,Bootstrapped,62,agency_or_service_provider,Not ICP: agency/service provider
raw_0051,AccountWorks,https://accountworks.com,funding_news,Venture Update Feed,https://example-funding-digest.com/startups/accountworks-51,"AccountWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","AccountWorks is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-05-23,Australia,51-200,Seed,78,qualified_candidate,
raw_0052,AccountWorks AI,https://www.accountworks.com,conference,B2B Revenue Conference Booth Directory,https://example-saas-growth-summit.com/exhibitors/accountworks-52,"AccountWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","AccountWorks is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-05-23,Australia,51-200,Seed,94,qualified_candidate,
raw_0053,AccountWorks Inc.,https://accountworks.com/,careers_page,GTM Job Feed,https://jobs.example-ats.com/accountworks-53,"AccountWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","AccountWorks is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-05-23,Australia,51-200,Seed,84,qualified_candidate,
raw_0054,FunnelVistaClosed,https://funnelvistaclosed.com,careers_page,ATS Job Board Extraction,https://jobs.example-ats.com/funnelvistaclosed-54,FunnelVistaClosed is an old startup listing from a previous event.,This website is no longer available.,,2019-05-14,Singapore,1-10,Unknown,94,dead_or_stale,Dead/stale/parked company
raw_0055,ProspectVista,https://prospectvista.app,careers_page,ATS Job Board Extraction,https://jobs.example-ats.com/prospectvista-55,"ProspectVista is a B2B SaaS company building software for sales, revenue, and operations teams.","ProspectVista is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.","Hiring: VP Sales, Account Executive, Partnerships Manager, and Revenue Operations Analyst.",2026-04-04,Netherlands,201-500,Seed,94,qualified_candidate,
raw_0056,PipelineLoop,https://pipelineloop.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/pipelineloop-56,"PipelineLoop is a B2B SaaS company building software for sales, revenue, and operations teams.","PipelineLoop gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-04-21,Canada,51-200,Unknown,94,qualified_candidate,
raw_0057,RevenueWorks,https://revenueworks.ai,accelerator,Northstar SaaS Demo Day,https://example-seedlaunch.com/batch/revenueworks-57,"RevenueWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","RevenueWorks gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-03-27,US,201-500,Seed,94,qualified_candidate,
raw_0058,RevenueWorks AI,https://www.revenueworks.ai,conference,GTM Leaders Expo Sponsor List,https://example-saas-growth-summit.com/exhibitors/revenueworks-58,"RevenueWorks is a B2B SaaS company building software for sales, revenue, and operations teams.","RevenueWorks gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Head of Sales, Account Executive, Revenue Operations Manager, and SDR.",2026-03-27,US,201-500,Seed,68,qualified_candidate,
raw_0059,DealLabs,https://deallabs.io,accelerator,Foundry Ventures Startup Batch,https://example-seedlaunch.com/batch/deallabs-59,"DealLabs is a B2B SaaS company building software for sales, revenue, and operations teams.","DealLabs is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-03-12,Canada,11-50,Seed,62,qualified_candidate,
raw_0060,DealLabs AI,https://deallabs.io,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/deallabs-60,"DealLabs is a B2B SaaS company building software for sales, revenue, and operations teams.","DealLabs is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-03-12,Canada,11-50,Seed,84,qualified_candidate,
raw_0061,SignalBaseBrand,https://signalbasebrand.com,funding_news,Startup Funding Digest,https://example-funding-digest.com/startups/signalbasebrand-61,SignalBaseBrand is a creative design and marketing services agency.,"SignalBaseBrand is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-06-09,Australia,1-10,Unknown,94,agency_or_service_provider,Not ICP: agency/service provider
raw_0062,SignalBaseBrand AI,https://www.signalbasebrand.com,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/signalbasebrand-62,SignalBaseBrand is a creative design and marketing services agency.,"SignalBaseBrand is a creative agency offering branding, web design, landing pages, content, and visual identity services for startups.",,2026-06-09,Australia,1-10,Unknown,84,agency_or_service_provider,Not ICP: agency/service provider
raw_0063,GrowthFlow,https://growthflow.app,startup_directory,Cloud Software Landscape,https://example-startup-directory.com/company/growthflow-63,"GrowthFlow is a B2B SaaS company building software for sales, revenue, and operations teams.","GrowthFlow gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-03-02,Australia,51-200,Seed,89,qualified_candidate,
raw_0064,MarketEngine,https://marketengine.dev,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/marketengine-64,"MarketEngine is a B2B SaaS company building software for sales, revenue, and operations teams.","MarketEngine gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",,2026-03-07,Netherlands,51-200,Unknown,73,qualified_candidate,
raw_0065,QuotaLoopPets,https://quotalooppets.com,careers_page,Revenue Hiring Monitor,https://jobs.example-ats.com/quotalooppets-65,"QuotaLoopPets is a consumer or local business, not a B2B SaaS buyer.","QuotaLoopPets is a consumer-focused local business providing lifestyle services, bookings, and retail experiences.",,2026-04-17,Singapore,51-200,Unknown,68,irrelevant_business,Not ICP: irrelevant business
raw_0066,GrowthLoop,https://growthloop.co,accelerator,SeedLaunch Accelerator Batch,https://example-seedlaunch.com/batch/growthloop-66,"GrowthLoop is a B2B SaaS company building software for sales, revenue, and operations teams.","GrowthLoop gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.",,2026-03-21,Canada,201-500,Seed,68,qualified_candidate,
raw_0067,GrowthLoop AI,https://www.growthloop.co,careers_page,ATS Job Board Extraction,https://jobs.example-ats.com/growthloop-67,"GrowthLoop is a B2B SaaS company building software for sales, revenue, and operations teams.","GrowthLoop gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","Open roles: Sales Development Representative, Account Executive, and RevOps Manager.",2026-03-21,Canada,201-500,Seed,89,qualified_candidate,
raw_0068,LedgerNexus,https://ledgernexus.com,funding_news,Growth Capital Brief,https://example-funding-digest.com/startups/ledgernexus-68,"LedgerNexus is a B2B SaaS company building software for sales, revenue, and operations teams.","LedgerNexus is a B2B SaaS platform helping revenue teams improve pipeline visibility, forecast accuracy, and sales execution. Request a demo from our sales team.",We are hiring Sales Development Representatives and Account Executives to expand our GTM motion.,2026-05-12,UK,51-200,Series A,78,qualified_candidate,
raw_0069,GrowthHub,https://growthhub.dev,conference,GTM Leaders Expo Sponsor List,https://example-saas-growth-summit.com/exhibitors/growthhub-69,"GrowthHub is a B2B SaaS company building software for sales, revenue, and operations teams.","GrowthHub gives sales and RevOps teams a workflow automation dashboard for GTM execution, pipeline management, and revenue operations.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-03-21,Australia,51-200,Series B,73,qualified_candidate,
raw_0070,GTMDock,https://gtmdock.dev,accelerator,Foundry Ventures Startup Batch,https://example-seedlaunch.com/batch/gtmdock-70,"GTMDock is a B2B SaaS company building software for sales, revenue, and operations teams.","GTMDock is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-03-18,Netherlands,201-500,Series B,68,qualified_candidate,
raw_0071,GTMDock AI,https://gtmdock.dev,startup_directory,EarlySaaS Directory,https://example-startup-directory.com/company/gtmdock-71,"GTMDock is a B2B SaaS company building software for sales, revenue, and operations teams.","GTMDock is cloud software for business teams that need better go-to-market visibility, sales automation, and customer acquisition workflows.","We are growing our go-to-market team and hiring SDRs, BDRs, and sales leadership.",2026-03-18,Netherlands,201-500,Series B,89,qualified_candidate,
